condition,method,n,reference_value,relative_error,scan_type,speed_m_s,value
3,quad_angle,90,2.032778437421031e-22,0.001347651442483557,rhores,200000.0,2.0355179142144709e-22
3,quad_angle,180,2.032778437421031e-22,0.00033695754622787346,rhores,200000.0,2.0334633974553293e-22
3,quad_angle,360,2.032778437421031e-22,8.424224907781666e-05,rhores,200000.0,2.0329496832484762e-22
3,quad_angle,720,2.032778437421031e-22,2.106074227763891e-05,rhores,200000.0,2.032821249243809e-22
3,quad_angle,1440,2.032778437421031e-22,5.265196857611814e-06,rhores,200000.0,2.0327891403996719e-22
3,quad_angle,2880,2.032778437421031e-22,1.316299904249894e-06,rhores,200000.0,2.0327811131670935e-22
3,vectorized,45,2.032778437421031e-22,0.005417951144317106,vectorized,200000.0,2.0437919316821994e-22
3,vectorized,90,2.032778437421031e-22,0.0013551290419322717,vectorized,200000.0,2.035533114517394e-22
3,vectorized,180,2.032778437421031e-22,0.00033882687916368047,vectorized,200000.0,2.0334671973950135e-22
3,vectorized,360,2.032778437421031e-22,8.470958603889065e-05,vectorized,200000.0,2.0329506332409737e-22
3,vectorized,720,2.032778437421031e-22,2.1177576927351328e-05,vectorized,200000.0,2.0328214867427657e-22
3,vectorized,1440,2.032778437421031e-22,5.294405583678509e-06,vectorized,200000.0,2.0327891997745404e-22
3,vectorized,2880,2.032778437421031e-22,1.3236021031146614e-06,vectorized,200000.0,2.032781128010846e-22
