dphires,force_n,relative_error,rhomax_fraction,rhores,test_type,test_value,velocity_cm_s,velocity_index,vres
300,3.4502655946111972e-15,0.0,1.0,1000,rhores,1000.0,10000000.0,10,100
300,1.5229547712201203e-15,0.0,1.0,1000,rhores,1000.0,15848931.924611142,11,100
300,6.678157656332412e-16,0.0,1.0,1000,rhores,1000.0,25118864.315095823,12,100
300,2.910873988960594e-16,0.0,1.0,1000,rhores,1000.0,39810717.05534969,13,100
300,1.26425569865157e-16,0.0,1.0,1000,rhores,1000.0,63095734.44801943,14,100
300,5.499533942956759e-17,0.0,1.0,1000,rhores,1000.0,100000000.0,15,100
300,2.6592957108035954e-14,0.0002487997149944066,1.0,300,vres,30.0,100000.0,0,30
300,4.169863631027632e-14,0.0002732247065177068,1.0,300,vres,30.0,158489.3192461114,1,30
300,6.434326587842052e-14,0.00030849005733003115,1.0,300,vres,30.0,251188.6431509582,2,30
300,9.540335306218363e-14,0.00036788515377048173,1.0,300,vres,30.0,398107.1705534969,3,30
300,1.283489449150578e-13,0.0004585743117976265,1.0,300,vres,30.0,630957.344480193,4,30
300,1.3787415783110349e-13,0.0005377183451070046,1.0,300,vres,30.0,1000000.0,5,30
300,9.550312475106209e-14,0.0003743789651436175,1.0,300,vres,30.0,1584893.1924611141,6,30
300,4.184127481798361e-14,0.0001271318899466855,1.0,300,vres,30.0,2511886.4315095823,7,30
300,1.7657193600483797e-14,7.209860414955311e-06,1.0,300,vres,30.0,3981071.705534969,8,30
300,7.783026356394958e-15,4.309031732568178e-06,1.0,300,vres,30.0,6309573.444801929,9,30
300,3.4503656903859972e-15,3.5306087593819236e-06,1.0,300,vres,30.0,10000000.0,10,30
300,1.5229944517548307e-15,3.2587823651877863e-06,1.0,300,vres,30.0,15848931.924611142,11,30
300,6.678316395103537e-16,3.1545323934617377e-06,1.0,300,vres,30.0,25118864.315095823,12,30
300,2.9109377334702305e-16,3.1133070579457652e-06,1.0,300,vres,30.0,39810717.05534969,13,30
300,1.2642813526604973e-16,3.100922146493398e-06,1.0,300,vres,30.0,63095734.44801943,14,30
300,5.499637344474869e-17,3.088171034747867e-06,1.0,300,vres,30.0,100000000.0,15,30
300,2.6599458606903194e-14,4.378559807769425e-06,1.0,300,vres,100.0,100000.0,0,100
300,4.170988418630815e-14,3.556347328804995e-06,1.0,300,vres,100.0,158489.3192461114,1,100
300,6.436312099730462e-14,4.1030290970140366e-09,1.0,300,vres,100.0,251188.6431509582,2,100
300,9.54381553159271e-14,3.228677930261463e-06,1.0,300,vres,100.0,398107.1705534969,3,100
300,1.2840752876614287e-13,2.341609030670718e-06,1.0,300,vres,100.0,630957.344480193,4,100
300,1.3794777799638352e-13,4.039086251726152e-06,1.0,300,vres,100.0,1000000.0,5,100
300,9.553813957103446e-14,7.880892420406876e-06,1.0,300,vres,100.0,1584893.1924611141,6,100
300,4.1846622077126466e-14,6.505296605708884e-07,1.0,300,vres,100.0,2511886.4315095823,7,100
300,1.7657077845778927e-14,6.541448202454109e-07,1.0,300,vres,100.0,3981071.705534969,8,100
300,7.782995875621651e-15,3.9270108510175056e-07,1.0,300,vres,100.0,6309573.444801929,9,100
300,3.4503546205882257e-15,3.223004674488686e-07,1.0,300,vres,100.0,10000000.0,10,100
300,1.522989942022865e-15,2.976772496782431e-07,1.0,300,vres,100.0,15848931.924611142,11,100
300,6.6782972534031e-16,2.8827693505569865e-07,1.0,300,vres,100.0,25118864.315095823,12,100
300,2.9109294987395903e-16,2.8440550407624386e-07,1.0,300,vres,100.0,39810717.05534969,13,100
300,1.264277789162119e-16,2.8231739455180356e-07,1.0,300,vres,100.0,63095734.44801943,14,100
300,5.499621929365818e-17,2.8523046074474996e-07,1.0,300,vres,100.0,100000000.0,15,100
300,2.6599561517711292e-14,5.096706315575432e-07,1.0,300,vres,300.0,100000.0,0,300
300,4.171001798599227e-14,3.4849358171220705e-07,1.0,300,vres,300.0,158489.3192461114,1,300
300,6.436315821325849e-14,5.741155708776971e-07,1.0,300,vres,300.0,251188.6431509582,2,300
300,9.543844340893883e-14,2.1005209217569673e-07,1.0,300,vres,300.0,398107.1705534969,3,300
300,1.2840785986727655e-13,2.3690300483004848e-07,1.0,300,vres,300.0,630957.344480193,4,300
300,1.3794834725235772e-13,8.75019629768061e-08,1.0,300,vres,300.0,1000000.0,5,300
